field,label,pillar,preferred_provider_id,fallback_provider_id,collection_hint,minimum_evidence,notes
gross_income,Gross income,pressure,national_statistical_office,city_official_portal,"Use disposable or median household income at city, metro, or closest urban functional-area level.",Official city or metro income table with a clear reference year and local-currency definition.,Avoid lifestyle blogs or commercial cost-of-living sites. National statistical microdata is acceptable if urban breakdowns are official.
di_ppp_raw,Disposable income PPP (Raw),pressure,derived,world_bank,Disposable income in PPP terms. Computed from components or taken from official regional surveys.,Official income survey or a transparently documented combination of official revenue and cost sources.,"A core V3 metric. If computed manually, ensure all components (rent, food, etc.) are cited."
rent,Rent,pressure,city_official_portal,national_statistical_office,Use official advertised or observed urban rent benchmarks for a standard long-stay dwelling.,"Official city, metro, or national housing dataset with dwelling type or square-metre basis stated.","If multiple dwelling sizes are available, document the chosen standard in notes before entering the number."
utilities,Utilities,pressure,city_official_portal,subnational_official_portal,"Use official household utility tariffs or annual service-cost tables covering electricity, water, or bundled utilities.",Official tariff schedule or utility regulator table with billing unit stated.,"If utilities are split across agencies, note the blend used in City_Inputs."
transit_cost,Transit cost,pressure,city_official_portal,subnational_official_portal,Use the official adult fare for the standard recurring urban pass or ticket chosen for the method.,Official transport authority fare table with validity period stated.,Do not use trip-planner screenshots or resale pages as the source of record.
internet_cost,Internet cost,pressure,national_statistical_office,subnational_official_portal,Use official communications regulator or statistical releases for household broadband pricing or affordability.,Official regulator or statistical publication with broadband package definition and date.,Commercial ISP landing pages are a weak fallback and should be avoided when official regulator data exists.
food_cost,Food cost,pressure,national_statistical_office,city_official_portal,"Use official consumer-price baskets, municipal market surveys, or urban CPI components.",Official basket or price index release with city or metro scope explained.,Document whether the number is a direct basket cost or an indexed proxy.
housing_burden_raw,Housing burden raw,pressure,city_official_portal,national_statistical_office,Use official housing-cost share or combine official rent and official income sources transparently.,Official burden ratio or a clearly documented manual combination of official rent and income sources.,"If you compute the burden manually, cite both upstream sources in notes."
household_debt_burden_raw,Household debt burden raw,pressure,national_statistical_office,oecd_data,"Use official household debt, arrears, or credit-burden indicators at city, metro, or closest functional-area level.",Official household finance or credit-statistics release with geography and year stated.,"If only regional or national figures exist, mark that explicitly in notes before reuse."
working_time_pressure_raw,Working time pressure raw,pressure,ilo_ilostat,national_statistical_office,"Use average weekly hours, excessive-hours share, or equivalent official work-time pressure indicator.","Official labour-force or work-time release with geography, unit, and reference period stated.",Prefer urban breakdowns; otherwise use the closest official metro or regional labour market release.
suicide_mental_strain_raw,Suicide or mental strain raw,pressure,who_gho,national_statistical_office,"Use official suicide mortality, severe mental-health strain, or comparable public-health burden figures.",Official health release with numerator basis and geography stated.,Do not use editorial rankings or perception surveys for this field.
personal_safety_raw,Personal safety raw,viability,city_official_portal,national_statistical_office,"Use official crime incidence, victimisation, or public-safety releases covering the city or metro area.","Official police, justice, or municipal safety dataset with geography and rate definition stated.",Prefer incidence rates over narrative safety claims.
transit_access_commute_raw,Transit access and commute raw,viability,city_official_portal,subnational_official_portal,"Use official commute-time, service-coverage, or accessibility indicators from transport or mobility agencies.",Official transport or mobility release with geography and calculation method stated.,Network size alone is not enough; prefer measures tied to access or travel time.
clean_air_raw,Clean air raw,viability,subnational_official_portal,openaq,"Use official PM2.5, NO2, or composite air-quality monitoring results tied to the city or metro area.",Official monitoring data with station coverage and time period stated.,"OpenAQ can be an audited fallback, but official environmental monitoring remains preferred."
water_sanitation_utility_raw,"Water, sanitation, and utility raw",viability,city_official_portal,who_unicef_jmp,"Use official service continuity, potable-water quality, wastewater coverage, or utility reliability indicators.",Official utility or public-health service release with city or metro scope stated.,"If several utilities serve the metro, document the aggregation rule used."
digital_infrastructure_raw,Digital infrastructure raw,viability,subnational_official_portal,mlab,"Use official broadband availability, fixed-speed coverage, or digital-service quality indicators.",Official telecom or digital-infrastructure release with geography and metric definition stated.,"Measurement Lab is acceptable as audited context, but official digital coverage is preferred."
climate_sunlight_livability_raw,Climate and sunlight livability raw,viability,wmo_natl_met,national_statistical_office,"Composite of annual sunshine hours, temperature comfort (22 deg C optimum), and extreme weather frequency.",WMO climate normals or national meteorological service data with annual averages.,Penalizes both Nordic darkness and Gulf desert heat. Score reflects year-round outdoor livability.
healthcare_quality_raw,Healthcare quality raw,capability,subnational_official_portal,who_gho,"Use official healthcare access, capacity, outcomes, or service-quality indicators with city or metro relevance.",Official health-system release with geography and measurement basis stated.,Prefer local access or outcomes metrics over generic hospital counts.
education_quality_raw,Education quality raw,capability,subnational_official_portal,unesco_uis,"Use official school outcomes, completion, attainment, or tertiary-access indicators with local coverage.",Official education release with geography and cohort definition stated.,"If only national figures exist, use them transparently and mark the loss of local granularity."
equal_opportunity_raw,Equal opportunity raw,capability,national_statistical_office,city_official_portal,"Use official inequality-of-access, social mobility, poverty, or inclusion indicators at city or metro scale.",Official social or labour statistics release with geography and indicator definition stated.,Do not duplicate the country Gini value here; use a local opportunity measure if available.
hospitality_belonging_raw,Hospitality and belonging raw,community,city_official_portal,subnational_official_portal,"Use official civic-participation, volunteerism, newcomer integration, or resident-satisfaction evidence.",Official municipal or regional social-cohesion release with methodology stated.,This field can rely on high-quality municipal surveys if the survey owner is official.
tolerance_pluralism_raw,Tolerance and pluralism raw,community,national_statistical_office,city_official_portal,"Use official diversity, anti-discrimination, inclusion, or rights-based indicators with urban relevance.",Official demographic or inclusion release with geography and indicator basis stated.,Prefer measured inclusion outcomes over branding statements or awards.
cultural_public_life_raw,Cultural public life raw,community,city_official_portal,subnational_official_portal,"Use official culture, library, museum, or events participation indicators tied to the city.",Official municipal or regional culture release with attendance or availability measures stated.,A structured city culture dataset is stronger than promotional tourism copy.
birth_rate_optimism_raw,Birth rate and societal optimism raw,community,world_bank,national_statistical_office,Use total fertility rate (TFR) as a societal optimism proxy. Applied at national level.,World Bank TFR data or official national statistics with clear reference year.,Higher TFR signals greater societal confidence. Directionality is positive.
entrepreneurial_dynamism_raw,Entrepreneurial dynamism raw,creative,city_official_portal,national_statistical_office,"Use official business formation, enterprise density, startup registrations, or employer growth indicators.","Official city, chamber, or national business-statistics release with urban geography stated.",Prefer per-capita or rate-based indicators where possible.
innovation_research_intensity_raw,Innovation and research raw,creative,city_official_portal,wipo_statistics,"Use official patenting, R&D, university research, or scientific-output indicators with local attribution.","Official university, municipal, or national innovation release with geography and date stated.","If you fall back to WIPO, explain how the local geography is inferred."
investment_signal_raw,Investment signal raw,creative,city_official_portal,oecd_data,"Use official investment project, capital expenditure, office absorption, or productive-enterprise growth indicators.",Official economic development or statistical release with urban geography and year stated.,Avoid PR roundups unless they are published by the city or official investment agency.
administrative_investment_friction_raw,Administrative investment friction raw,creative,city_official_portal,world_bank,"Use official permitting, licensing, or business-service turnaround metrics relevant to the city.",Official service standard or regulatory performance release with a dated methodology.,"If only national ease-of-doing-business proxies exist, mark that clearly as a context fallback."
visitor_flow_context_raw,Visitor flow context raw,creative,city_official_portal,national_statistical_office,"Use official visitor arrivals, hotel nights, or tourism load indicators tied to the city.",Official tourism or accommodation release with city or metro scope stated.,"This field is optional in the score, but it is useful context for sense-checking city dynamics."
